Carimbo de data/hora,Você é MEI (Microempreendedor individual)? ,"Você acha que pode enfrentar desafios ao buscar financiamento, crédito, entre outros, por meio de bancos e instituições tradicionais?","Hoje, as instituições financeiras disponibilizam aproximadamente 30% de financiamento para MEI. Que tal considerarmos uma proposta de crédito facilitado de 33%? Nesse caso, seria necessário realizar algumas adequações sustentáveis em sua empresa, com nosso apoio e consultoria durante todo o processo. Essa possibilidade despertaria seu interesse?",Você estaria aberta a incorporar práticas sustentáveis em seu negócio em troca de benefícios em crédito?,"Você sabia que integrar práticas sustentáveis ao seu negócio não só beneficia o planeta, mas também abre portas para vantagens financeiras, como melhores condições de crédito e financiamento para seu o negocio?",Como você avalia esta iniciativa? Ela despertou o seu interesse?
2023/12/16 11:24:38 AM GMT-5,Sim,Sim,Sim,Sim,Sim,Muito interessante e extremamente necessário
2023/12/16 11:31:50 AM GMT-5,Não,Não,Não,Não,Não,-
2023/12/16 11:34:56 AM GMT-5,Sim,Sim,Sim,Sim,Não,Interessante 
2023/12/16 11:36:34 AM GMT-5,Sim,Sim,Sim,Sim,Não,Sim. Esclarecedora.
2023/12/16 11:37:22 AM GMT-5,Sim,Sim,Não,Sim,Não,"Bem legal, nao despertou pq nao procuro linhas de credito"
2023/12/16 11:45:27 AM GMT-5,Não,Não,Não,Não,Não,Xxxx
2023/12/16 12:00:09 PM GMT-5,Sim,Sim,Sim,Sim,Não,Tudo que for benéfico para o meio ambiente e para as pessoas é válido.Essa iniciativa despertou o meu interesse apesar de não saber como aplicar no meu ramo que é loja de calçados. 
2023/12/16 12:10:38 PM GMT-5,Não,Sim,Não,Sim,Não,"(OBS: Sou Ltd)Sensacional, mundo precisa de práticas sustentáveis, pois a mudança climática esta cada vez mais intensa. "
2023/12/16 12:13:36 PM GMT-5,Não,Sim,Sim,Sim,Sim,"Avalio como super positiva, principalmente pelo engajamento ambiental."
2023/12/16 12:15:56 PM GMT-5,Sim,Sim,Não,Sim,Sim,Eu já trabalho com a sustentabilidade (faço trabalhos com reciclagem)
2023/12/16 12:22:24 PM GMT-5,Sim,Sim,Não,Sim,Sim,Legal. Boa 
2023/12/16 12:34:58 PM GMT-5,Sim,Sim,Sim,Sim,Sim,Sim
2023/12/16 12:36:17 PM GMT-5,Sim,Sim,Sim,Sim,Sim,Sim. Eu aplaudo. Já tenho consciência sustentável  
2023/12/16 1:02:09 PM GMT-5,Sim,Sim,Sim,Sim,Sim,"Sim despertou o meu interesse. Acho muito importante q os empreendimentos pensem no equilibrio ambiental, a partir de praticas cotidianas. No meu negocio ja utilizamos de praticas suste taveis. Troquei as embalagens plasticas, por embalagens bio degradaveis. Alem de dar um destino certo as embalagens plasticas que vem nos insumos para minha produção. "
2023/12/16 1:03:19 PM GMT-5,Não,Sim,Não,Não,Não,"Acho válida, porém não desperta meu interesse no momento atual. "
2023/12/16 1:33:28 PM GMT-5,Não,Não,Não,Sim,Sim,Muito importante e válida 
2023/12/16 2:06:00 PM GMT-5,Sim,Sim,Sim,Sim,Sim,"Sim , obg "
2023/12/16 3:16:12 PM GMT-5,Sim,Sim,Sim,Sim,Não,"Uma otima iniciava, tenho interesse sim."
2023/12/16 3:33:27 PM GMT-5,Sim,Sim,Sim,Sim,Sim,Ótima iniciativa 
2023/12/16 4:01:10 PM GMT-5,Sim,Sim,Sim,Sim,Não,A sustentabilidade é um ponto muito importante para nosso planta e nossa sobrevivência. Sim. 
2023/12/16 4:03:11 PM GMT-5,Não,Sim,Não,Sim,Não,"Excelente iniciativa, a sustentabilidade é uma paleta importantíssima para o nosso planeta e sobrevivência. Não somos Mei então não sei se tem a possibilidade, mas caso sim, acho interessante."
