Nome,Embalagens_Sustentaveis,Reducao_Desperdicio,Fornecedores_Locais,Emprego_Justo,Envolvimento_Comunitario,Produtos_Saudaveis,Transparencia_Negocios,Cumprimento_Regulamentacao,Etica_Relacionamentos,Conformidade_ESG
FoodTruck1,0,1,0,1,0,0,0,1,1,0
FoodTruck2,1,0,1,0,0,1,1,1,0,0
FoodTruck3,1,1,1,1,0,0,0,0,0,0
FoodTruck4,1,0,0,0,0,1,1,0,0,0
FoodTruck5,1,1,0,0,1,1,0,0,0,0
FoodTruck6,1,0,0,1,1,0,1,1,0,0
FoodTruck7,0,0,0,0,0,1,1,1,0,0
FoodTruck8,0,0,0,1,0,1,0,1,1,0
FoodTruck9,0,1,0,0,1,0,0,0,1,0
FoodTruck10,1,1,1,1,0,1,1,1,0,0
FoodTruck11,1,0,0,1,0,1,1,1,0,0
FoodTruck12,0,0,0,0,0,1,1,1,0,0
FoodTruck13,1,0,0,1,1,1,1,0,0,0
FoodTruck14,0,0,0,1,0,1,1,0,1,0
FoodTruck15,0,1,1,1,0,1,1,0,1,0
FoodTruck16,1,0,1,0,0,0,1,1,0,0
FoodTruck17,1,1,1,1,1,0,1,0,1,0
FoodTruck18,1,1,0,1,0,1,1,0,1,0
FoodTruck19,1,0,0,1,1,1,1,1,0,0
FoodTruck20,0,0,1,1,1,0,1,1,1,0
FoodTruck21,0,0,1,1,0,1,0,0,0,0
FoodTruck22,0,1,0,0,0,1,0,0,1,0
FoodTruck23,1,1,0,0,1,1,1,1,0,0
FoodTruck24,0,0,1,1,0,0,1,1,0,0
FoodTruck25,1,0,1,1,1,1,1,0,1,0
FoodTruck26,1,1,1,0,0,0,0,1,1,0
FoodTruck27,0,1,0,0,1,0,1,1,0,0
FoodTruck28,0,1,0,0,0,1,0,1,1,0
FoodTruck29,0,0,1,0,0,0,0,0,1,0
FoodTruck30,1,1,0,0,1,1,1,1,1,0
FoodTruck31,0,0,1,1,0,1,1,1,0,0
FoodTruck32,1,1,0,1,1,0,0,0,1,0
FoodTruck33,1,0,1,0,1,0,1,1,1,0
FoodTruck34,0,1,0,0,1,1,1,1,1,0
FoodTruck35,1,0,1,1,1,1,1,1,1,0
FoodTruck36,1,0,1,1,1,0,0,1,0,0
FoodTruck37,0,1,1,1,1,1,1,0,0,0
FoodTruck38,0,0,0,1,0,1,1,1,1,0
FoodTruck39,1,0,1,0,1,0,1,0,1,0
FoodTruck40,1,0,0,1,1,1,0,1,1,0
FoodTruck41,1,0,0,0,1,1,1,1,0,0
FoodTruck42,0,1,1,0,0,1,0,0,0,0
FoodTruck43,1,0,0,1,0,0,0,0,1,0
FoodTruck44,1,1,0,0,1,1,1,1,1,0
FoodTruck45,1,0,0,1,1,0,1,1,1,0
FoodTruck46,1,0,1,1,0,1,0,1,1,0
FoodTruck47,0,1,1,0,0,1,0,0,0,0
FoodTruck48,0,1,1,0,0,1,1,1,1,0
FoodTruck49,1,0,1,0,1,0,0,1,1,0
FoodTruck50,0,1,0,0,0,1,0,1,1,0
FoodTruck51,1,0,0,1,0,0,1,1,1,0
FoodTruck52,1,0,0,1,1,1,1,0,1,0
FoodTruck53,1,1,0,1,1,0,0,1,1,0
FoodTruck54,1,0,0,0,1,0,1,1,1,0
FoodTruck55,0,0,1,0,0,1,0,1,0,0
FoodTruck56,0,0,0,0,0,1,0,1,1,0
FoodTruck57,1,0,1,1,1,1,0,1,1,0
FoodTruck58,1,0,1,0,1,0,1,1,1,0
FoodTruck59,0,0,1,0,0,1,0,1,0,0
FoodTruck60,0,1,0,0,0,0,0,1,0,0
FoodTruck61,0,0,1,1,1,0,1,0,0,0
FoodTruck62,0,1,1,0,1,1,1,1,0,0
FoodTruck63,0,0,0,1,0,0,1,0,0,0
FoodTruck64,0,1,0,1,0,1,1,0,1,0
FoodTruck65,1,1,0,1,0,1,0,0,1,0
FoodTruck66,1,1,1,1,0,1,0,0,1,0
FoodTruck67,0,1,1,1,0,0,1,0,1,0
FoodTruck68,0,0,0,0,0,0,0,0,1,0
FoodTruck69,1,0,1,1,1,1,1,1,1,0
FoodTruck70,0,0,0,1,0,0,1,0,1,0
FoodTruck71,0,1,1,0,1,1,1,1,1,0
FoodTruck72,0,0,1,0,0,0,1,0,0,0
FoodTruck73,1,1,0,0,0,0,0,0,1,0
FoodTruck74,1,0,1,0,0,1,0,1,1,0
FoodTruck75,1,0,1,1,1,0,0,0,1,0
FoodTruck76,1,0,1,1,0,0,0,1,0,0
FoodTruck77,0,1,1,0,0,1,0,0,0,0
FoodTruck78,0,0,1,1,0,0,1,0,0,0
FoodTruck79,1,0,1,1,1,1,1,0,1,0
FoodTruck80,0,0,1,1,0,0,0,0,1,0
FoodTruck81,1,0,0,0,1,1,0,0,0,0
FoodTruck82,1,1,1,0,0,1,0,1,1,0
FoodTruck83,1,1,0,0,0,0,0,1,1,0
FoodTruck84,1,1,1,1,1,0,0,1,1,0
FoodTruck85,0,1,1,0,0,1,0,1,1,0
FoodTruck86,1,1,1,0,1,1,0,1,1,0
FoodTruck87,0,1,0,1,1,1,1,1,0,0
FoodTruck88,0,1,1,0,1,0,0,1,0,0
FoodTruck89,1,1,0,1,0,1,1,1,1,0
FoodTruck90,1,0,0,1,1,1,0,1,0,0
FoodTruck91,0,1,1,0,1,0,1,1,1,0
FoodTruck92,1,0,1,1,1,1,0,0,1,0
FoodTruck93,1,0,0,0,1,0,1,0,1,0
FoodTruck94,0,0,0,1,1,0,0,1,0,0
FoodTruck95,1,1,1,1,0,1,1,0,0,0
FoodTruck96,0,1,1,1,0,1,1,0,1,0
FoodTruck97,1,0,0,0,0,0,1,0,1,0
FoodTruck98,0,0,0,0,1,0,0,1,0,0
FoodTruck99,0,0,1,1,1,0,0,1,1,0
FoodTruck100,1,1,1,0,0,0,0,0,0,0
FoodTruck101,0,0,1,0,0,1,0,0,1,0
FoodTruck102,0,1,1,0,1,1,0,0,1,0
FoodTruck103,1,1,0,1,1,1,0,1,1,0
FoodTruck104,1,1,0,1,0,1,1,1,0,0
FoodTruck105,1,0,0,0,1,0,0,0,0,0
FoodTruck106,1,1,0,0,1,1,1,1,0,0
FoodTruck107,0,0,0,1,0,1,0,1,0,0
FoodTruck108,0,1,1,1,1,0,0,1,0,0
FoodTruck109,1,1,0,0,0,0,0,1,0,0
FoodTruck110,1,1,0,1,1,0,0,1,0,0
FoodTruck111,0,0,0,1,0,0,0,0,0,0
FoodTruck112,0,0,0,1,0,0,0,0,0,0
FoodTruck113,0,1,0,0,0,0,1,1,1,0
FoodTruck114,1,0,0,0,0,1,0,0,1,0
FoodTruck115,0,1,0,0,1,1,1,0,0,0
FoodTruck116,0,0,0,1,1,1,1,0,0,0
FoodTruck117,1,1,0,0,0,1,1,0,0,0
FoodTruck118,1,0,0,1,0,1,1,1,0,0
FoodTruck119,1,0,0,1,1,0,0,1,1,0
FoodTruck120,0,1,1,1,1,1,0,1,0,0
FoodTruck121,1,1,0,1,0,0,1,0,1,0
FoodTruck122,1,1,0,0,1,0,0,0,1,0
FoodTruck123,1,1,0,1,1,1,1,0,0,0
FoodTruck124,0,0,0,0,1,1,0,0,1,0
FoodTruck125,1,0,1,1,1,0,1,1,0,0
FoodTruck126,0,1,0,0,0,0,1,0,0,0
FoodTruck127,1,0,0,1,0,1,0,1,0,0
FoodTruck128,0,0,0,0,0,0,1,1,0,0
FoodTruck129,1,0,0,0,1,1,1,0,0,0
FoodTruck130,1,1,0,1,0,1,0,1,0,0
FoodTruck131,1,0,1,1,1,1,0,0,1,0
FoodTruck132,1,1,0,1,1,1,0,0,0,0
FoodTruck133,1,1,1,1,0,0,0,1,1,0
FoodTruck134,1,0,0,1,0,0,0,0,1,0
FoodTruck135,1,1,0,0,0,1,0,0,1,0
FoodTruck136,0,1,0,1,1,0,1,1,1,0
FoodTruck137,0,1,1,1,1,1,0,0,0,0
FoodTruck138,1,0,1,0,0,1,0,0,1,0
FoodTruck139,1,1,1,1,0,1,1,1,1,0
FoodTruck140,1,1,1,1,1,0,0,0,1,0
FoodTruck141,0,0,0,1,1,0,1,1,1,0
FoodTruck142,1,1,0,1,0,1,0,1,1,0
FoodTruck143,0,1,1,1,0,1,1,1,1,0
FoodTruck144,1,1,0,0,1,1,0,1,1,0
FoodTruck145,0,0,0,0,0,1,0,0,0,0
FoodTruck146,1,1,1,0,1,0,0,0,1,0
FoodTruck147,0,0,0,1,0,1,0,0,0,0
FoodTruck148,1,1,1,1,1,1,0,1,1,0
FoodTruck149,1,1,1,0,0,1,1,0,1,0
FoodTruck150,1,1,1,0,0,1,0,1,0,0
FoodTruck151,0,1,0,0,0,0,1,0,1,0
FoodTruck152,0,1,0,1,1,0,1,0,1,0
FoodTruck153,0,0,0,0,1,1,1,1,0,0
FoodTruck154,0,0,0,1,1,1,1,0,1,0
FoodTruck155,1,0,1,0,1,0,0,1,1,0
FoodTruck156,1,0,0,1,0,0,1,0,1,0
FoodTruck157,0,0,1,1,0,1,0,0,0,0
FoodTruck158,0,1,1,1,1,1,0,1,1,0
FoodTruck159,0,0,1,1,1,0,1,0,0,0
FoodTruck160,0,0,1,0,0,0,1,1,0,0
FoodTruck161,0,0,1,0,1,1,0,1,0,0
FoodTruck162,0,0,1,0,0,0,0,0,1,0
FoodTruck163,0,0,0,0,0,1,0,0,1,0
FoodTruck164,0,1,1,0,0,0,1,0,0,0
FoodTruck165,1,0,0,1,1,0,0,0,1,0
FoodTruck166,0,0,1,1,1,1,0,1,0,0
FoodTruck167,0,1,1,1,1,1,0,0,0,0
FoodTruck168,1,1,0,1,1,0,0,0,1,0
FoodTruck169,1,0,1,1,1,1,1,0,1,0
FoodTruck170,0,0,0,0,1,1,1,1,1,0
FoodTruck171,0,0,0,0,0,0,1,0,1,0
FoodTruck172,0,0,0,0,0,0,0,1,1,0
FoodTruck173,0,0,0,1,1,0,1,1,1,0
FoodTruck174,0,1,0,1,1,0,1,0,1,0
FoodTruck175,1,1,0,1,0,0,0,0,1,0
FoodTruck176,1,0,1,1,1,1,0,1,1,0
FoodTruck177,1,1,1,1,1,1,0,0,0,0
FoodTruck178,1,1,0,1,1,1,0,0,1,0
FoodTruck179,1,1,0,0,0,1,0,0,1,0
FoodTruck180,1,0,1,1,0,0,1,0,1,0
FoodTruck181,1,0,0,0,0,1,0,1,0,0
FoodTruck182,0,0,0,0,0,1,0,0,1,0
FoodTruck183,0,1,0,1,0,1,0,1,1,0
FoodTruck184,0,0,0,1,1,0,0,0,1,0
FoodTruck185,1,1,1,0,1,1,0,0,1,0
FoodTruck186,1,1,1,1,0,0,1,0,1,0
FoodTruck187,1,1,0,1,0,0,1,0,0,0
FoodTruck188,0,1,0,1,1,0,1,1,1,0
FoodTruck189,0,1,0,0,0,1,1,0,0,0
FoodTruck190,1,1,1,0,0,1,0,1,0,0
FoodTruck191,0,1,1,1,1,1,0,0,0,0
FoodTruck192,1,0,0,0,1,1,1,0,0,0
FoodTruck193,1,1,1,1,1,0,1,0,0,0
FoodTruck194,0,0,0,1,0,1,0,1,0,0
FoodTruck195,0,0,0,0,0,1,0,0,0,0
FoodTruck196,1,0,0,1,1,1,0,1,0,0
FoodTruck197,0,0,1,0,0,1,1,0,0,0
FoodTruck198,1,1,1,1,1,0,1,1,1,0
FoodTruck199,1,0,0,0,1,0,1,0,1,0
FoodTruck200,0,1,0,0,0,0,0,1,0,0
FoodTruck201,0,0,0,1,1,1,0,0,1,0
FoodTruck202,0,1,1,1,1,0,1,1,0,0
FoodTruck203,0,1,1,1,0,0,0,0,0,0
FoodTruck204,1,1,0,1,1,0,0,0,1,0
FoodTruck205,0,0,1,1,1,1,1,0,0,0
FoodTruck206,0,0,1,1,1,1,0,1,1,0
FoodTruck207,1,0,1,0,1,1,0,0,0,0
FoodTruck208,1,0,1,1,0,0,0,1,0,0
FoodTruck209,0,1,0,0,0,1,1,0,1,0
FoodTruck210,0,0,1,0,0,1,1,0,1,0
FoodTruck211,0,0,1,1,1,0,0,0,1,0
FoodTruck212,0,1,1,1,1,0,0,0,1,0
FoodTruck213,1,1,0,0,1,1,0,0,1,0
FoodTruck214,1,0,0,1,0,1,1,0,1,0
FoodTruck215,1,0,1,0,1,0,0,0,1,0
FoodTruck216,1,0,0,1,1,0,1,0,0,0
FoodTruck217,0,0,1,0,0,1,1,0,0,0
FoodTruck218,0,0,0,1,0,1,0,1,0,0
FoodTruck219,1,0,1,0,1,0,1,1,1,0
FoodTruck220,0,0,1,0,1,1,0,0,1,0
FoodTruck221,0,1,1,0,1,0,0,1,0,0
FoodTruck222,0,1,1,1,1,1,1,1,0,0
